formation_days,entry_z,max_pairs,cost_bps_per_side,is_default,n_oos_days,gross_sharpe,gross_ann_return,net_sharpe,net_ann_return,net_ann_vol,net_max_drawdown,ann_turnover,net_cumulative
504,2,50,0,False,4410,-0.28219254,-0.0048991346,-0.3155413,-0.0054602364,0.016898478,-0.11097893,3.1862857,-0.091368778
504,2,50,1,False,4410,-0.28219254,-0.0048991346,-0.33436319,-0.0057771111,0.016900174,-0.11357711,3.1862857,-0.096421787
504,2,50,2,False,4410,-0.28219254,-0.0048991346,-0.35317738,-0.0060938885,0.016902059,-0.11616773,3.1862857,-0.10144675
504,2,50,5,False,4410,-0.28219254,-0.0048991346,-0.40956743,-0.0070436367,0.016908841,-0.1259254,3.1862857,-0.11635493
504,2,50,10,False,4410,-0.28219254,-0.0048991346,-0.50333861,-0.008624605,0.016923902,-0.14838874,3.1862857,-0.14065535
504,2,50,20,False,4410,-0.28219254,-0.0048991346,-0.68980982,-0.01177926,0.016968067,-0.19160195,3.1862857,-0.18727359
504,2.5,5,0,False,4410,-0.34989102,-0.0087841344,-0.36610285,-0.0091764512,0.02436568,-0.16874103,3.5428571,-0.14898817
504,2.5,5,1,False,4410,-0.34989102,-0.0087841344,-0.38054767,-0.0095275919,0.024371797,-0.17383182,3.5428571,-0.15425063
504,2.5,5,2,False,4410,-0.34989102,-0.0087841344,-0.39497873,-0.0098786185,0.024378316,-0.17889158,3.5428571,-0.15948071
504,2.5,5,5,False,4410,-0.34989102,-0.0087841344,-0.43818239,-0.010931013,0.02440028,-0.19388657,3.5428571,-0.17497858
504,2.5,5,10,False,4410,-0.34989102,-0.0087841344,-0.50984889,-0.012682724,0.024444893,-0.21827497,3.5428571,-0.20017885
504,2.5,5,20,False,4410,-0.34989102,-0.0087841344,-0.65160837,-0.016177609,0.024563925,-0.26487049,3.5428571,-0.24830391
504,2.5,20,0,False,4410,-0.27572525,-0.0040039909,-0.30345734,-0.0043960507,0.014186429,-0.089026362,3.1485714,-0.074203175
504,2.5,20,1,False,4410,-0.27572525,-0.0040039909,-0.32556737,-0.0047095329,0.014190098,-0.093679555,3.1485714,-0.079291236
504,2.5,20,2,False,4410,-0.27572525,-0.0040039909,-0.34765843,-0.0050229213,0.014194076,-0.098309053,3.1485714,-0.084351411
504,2.5,20,5,False,4410,-0.27572525,-0.0040039909,-0.41380364,-0.0059625229,0.014207854,-0.11229424,3.1485714,-0.099366135
504,2.5,20,10,False,4410,-0.27572525,-0.0040039909,-0.52353548,-0.0075266491,0.014236948,-0.13534349,3.1485714,-0.12384701
504,2.5,20,20,False,4410,-0.27572525,-0.0040039909,-0.74047767,-0.010647877,0.014317945,-0.17967163,3.1485714,-0.17083574
504,2.5,50,0,False,4410,-0.30762585,-0.0037921652,-0.3346605,-0.00411871,0.012112976,-0.079830692,2.4182857,-0.069679629
504,2.5,50,1,False,4410,-0.30762585,-0.0037921652,-0.35461563,-0.0043595218,0.012113293,-0.083481465,2.4182857,-0.073608562
504,2.5,50,2,False,4410,-0.30762585,-0.0037921652,-0.3745638,-0.004600278,0.012113802,-0.087118507,2.4182857,-0.077520944
504,2.5,50,5,False,4410,-0.30762585,-0.0037921652,-0.43435701,-0.0053222123,0.012116478,-0.097943499,2.4182857,-0.089159473
504,2.5,50,10,False,4410,-0.30762585,-0.0037921652,-0.53378508,-0.0065243235,0.012124768,-0.11570142,2.4182857,-0.10823243
504,2.5,50,20,False,4410,-0.30762585,-0.0037921652,-0.73137157,-0.0089243792,0.012155662,-0.15018829,2.4182857,-0.1451914
